GOI,NON_GOI,mcc,TP,TN,FP,FN,sensitivity,specificity,untypeable,snp_sets,partition,type
1,1,1,144,2273,0,0,1,1,0,"1464166, 1462087",training,mcc
0.976421345961801,0.976421345961801,0.976421345961801,2528,26002,75,36,0.985959438377535,0.997123902289374,19,"1464166, 1462087",validation,mcc
0.977722816795306,0.977722816795306,0.977722816795306,2672,28275,75,36,0.986706056129985,0.997354497354497,19,"1464166, 1462087",all,mcc
1,1,1,144,2273,0,0,1,1,0,"1464223, 1462087, 21564",training,mcc
0.972725038589877,0.972725038589877,0.972725038589877,2529,25981,93,36,0.985964912280702,0.99643322850349,21,"1464223, 1462087, 21564",validation,mcc
0.974224462770519,0.974224462770519,0.974224462770519,2673,28254,93,36,0.98671096345515,0.9967192295481,21,"1464223, 1462087, 21564",all,mcc
1,1,1,144,2273,0,0,1,1,0,"1464227, 1462087, 21564",training,mcc
0.972491433288851,0.972491433288851,0.972491433288851,2527,25982,92,38,0.985185185185185,0.996471580885173,21,"1464227, 1462087, 21564",validation,mcc
0.974004771650637,0.974004771650637,0.974004771650637,2671,28255,92,38,0.985972683647102,0.996754506649734,21,"1464227, 1462087, 21564",all,mcc
1,1,1,144,2273,0,0,1,1,0,"1464266, 1462087, 21564",training,mcc
0.969433001032725,0.969433001032725,0.969433001032725,2514,25981,93,51,0.980116959064327,0.99643322850349,21,"1464266, 1462087, 21564",validation,mcc
0.971119240735091,0.971119240735091,0.971119240735091,2658,28254,93,51,0.981173864894795,0.9967192295481,21,"1464266, 1462087, 21564",all,mcc
1,1,1,144,2273,0,0,1,1,0,"1464289, 1462087, 21564",training,mcc
0.968553885882244,0.968553885882244,0.968553885882244,2510,25981,93,55,0.978557504873294,0.99643322850349,21,"1464289, 1462087, 21564",validation,mcc
0.970290067485256,0.970290067485256,0.970290067485256,2654,28254,93,55,0.979697305278701,0.9967192295481,21,"1464289, 1462087, 21564",all,mcc
1,1,1,144,2273,0,0,1,1,0,"1464403, 1462087, 21564",training,mcc
0.966681409570362,0.966681409570362,0.966681409570362,2508,25974,101,56,0.978159126365055,0.996126558005753,21,"1464403, 1462087, 21564",validation,mcc
0.968519065940465,0.968519065940465,0.968519065940465,2652,28247,101,56,0.979320531757755,0.996437138422464,21,"1464403, 1462087, 21564",all,mcc
1,1,1,144,2273,0,0,1,1,0,"1464442, 1462087, 21564",training,mcc
0.945596131601434,0.945596131601434,0.945596131601434,2508,25868,207,56,0.978159126365055,0.992061361457335,21,"1464442, 1462087, 21564",validation,mcc
0.948530961237202,0.948530961237202,0.948530961237202,2652,28141,207,56,0.979320531757755,0.992697897558911,21,"1464442, 1462087, 21564",all,mcc
1,1,1,144,2273,0,0,1,1,0,"1464451, 1462087, 21564",training,mcc
0.965815611466068,0.965815611466068,0.965815611466068,2505,25973,102,59,0.976989079563183,0.996088207094919,21,"1464451, 1462087, 21564",validation,mcc
0.967701835701101,0.967701835701101,0.967701835701101,2649,28246,102,59,0.97821270310192,0.99640186256526,21,"1464451, 1462087, 21564",all,mcc
1,1,1,144,2273,0,0,1,1,0,"1464079, 1462087, 134496",training,mcc
0.962152743959854,0.962152743959854,0.962152743959854,2464,25998,78,98,0.961748633879781,0.997008743672342,22,"1464079, 1462087, 134496",validation,mcc
0.964263980272634,0.964263980272634,0.964263980272634,2608,28271,78,98,0.963784183296378,0.997248580196832,22,"1464079, 1462087, 134496",all,mcc
1,1,1,144,2273,0,0,1,1,0,"1464076, 1462087, 134496, 21564",training,mcc
0.958625708040569,0.958625708040569,0.958625708040569,2465,25977,96,97,0.962138953942233,0.996318030146128,25,"1464076, 1462087, 134496, 21564",validation,mcc
0.960927635931106,0.960927635931106,0.960927635931106,2609,28250,96,97,0.964153732446415,0.996613278769491,25,"1464076, 1462087, 134496, 21564",all,mcc
0.871715646445857,0.871715646445857,0.871715646445857,144,2231,42,0,1,0.98152221733392,0,"690728, 1462232, 1120938, 71016, 1373841",training,percent
0.702928819766273,0.702928819766273,0.702928819766273,2232,24498,1365,342,0.867132867132867,0.9472219000116,223,"690728, 1462232, 1120938, 71016, 1373841",validation,percent
0.712196428901544,0.712196428901544,0.712196428901544,2376,26729,1407,342,0.874172185430464,0.949992891669036,223,"690728, 1462232, 1120938, 71016, 1373841",all,percent
0.923877842887548,0.923877842887548,0.923877842887548,144,2250,23,0,1,0.989881214254289,0,"1763893, 1462232, 134532, 631940, 898599",training,percent
0.791078698928325,0.791078698928325,0.791078698928325,2222,24963,693,352,0.863247863247863,0.972988774555659,430,"1763893, 1462232, 134532, 631940, 898599",validation,percent
0.798619833432029,0.798619833432029,0.798619833432029,2366,27213,716,352,0.870493009565857,0.974363564753482,430,"1763893, 1462232, 134532, 631940, 898599",all,percent
0.923877842887548,0.923877842887548,0.923877842887548,144,2250,23,0,1,0.989881214254289,0,"1763896, 1462232, 134532, 631940, 898599",training,percent
0.791059761972425,0.791059761972425,0.791059761972425,2222,24939,693,352,0.863247863247863,0.972963483146067,454,"1763896, 1462232, 134532, 631940, 898599",validation,percent
0.798603526189765,0.798603526189765,0.798603526189765,2366,27189,716,352,0.870493009565857,0.974341515857373,454,"1763896, 1462232, 134532, 631940, 898599",all,percent
0.898144309348977,0.898144309348977,0.898144309348977,144,2241,32,0,1,0.985921689397272,0,"244219, 631940, 1462232, 1120938, 1373841",training,percent
0.694309561804382,0.694309561804382,0.694309561804382,2214,24494,1399,361,0.859805825242719,0.945969953269223,192,"244219, 631940, 1462232, 1120938, 1373841",validation,percent
0.705128734082992,0.705128734082992,0.705128734082992,2358,26735,1431,361,0.867230599485105,0.949194063764823,192,"244219, 631940, 1462232, 1120938, 1373841",all,percent
0.917986573676787,0.917986573676787,0.917986573676787,144,2248,25,0,1,0.989001319841619,0,"1360306, 1462258, 134532, 1372843, 631940",training,percent
0.720827879983436,0.720827879983436,0.720827879983436,2200,24519,1156,370,0.856031128404669,0.954975657254138,415,"1360306, 1462258, 134532, 1372843, 631940",validation,percent
0.731444338953882,0.731444338953882,0.731444338953882,2344,26767,1181,370,0.863669859985262,0.957742951195076,415,"1360306, 1462258, 134532, 1372843, 631940",all,percent
0.917986573676787,0.917986573676787,0.917986573676787,144,2248,25,0,1,0.989001319841619,0,"1360309, 1462258, 134532, 1372843, 631940",training,percent
0.720827879983436,0.720827879983436,0.720827879983436,2200,24519,1156,370,0.856031128404669,0.954975657254138,415,"1360309, 1462258, 134532, 1372843, 631940",validation,percent
0.731444338953882,0.731444338953882,0.731444338953882,2344,26767,1181,370,0.863669859985262,0.957742951195076,415,"1360309, 1462258, 134532, 1372843, 631940",all,percent
0.892685691751137,0.892685691751137,0.892685691751137,144,2239,34,0,1,0.985041794984602,0,"463854, 1120938, 1462258, 631940, 1373841",training,percent
0.711939587632777,0.711939587632777,0.711939587632777,2260,23020,1350,302,0.882123341139735,0.94460402133771,1728,"463854, 1120938, 1462258, 631940, 1373841",validation,percent
0.72177455393081,0.72177455393081,0.72177455393081,2404,25259,1384,302,0.88839615668884,0.948053897834328,1728,"463854, 1120938, 1462258, 631940, 1373841",all,percent
0.887315907925439,0.887315907925439,0.887315907925439,144,2237,36,0,1,0.984161900571931,0,"243956, 631940, 1462232, 464949, 1373841",training,percent
0.721064915156854,0.721064915156854,0.721064915156854,2251,23541,1243,323,0.874514374514375,0.949846675274371,1302,"243956, 631940, 1462232, 464949, 1373841",validation,percent
0.730257838507871,0.730257838507871,0.730257838507871,2395,25778,1279,323,0.881162619573216,0.952729423069816,1302,"243956, 631940, 1462232, 464949, 1373841",all,percent
0.887315907925439,0.887315907925439,0.887315907925439,144,2237,36,0,1,0.984161900571931,0,"243959, 631940, 1462232, 464949, 1373841",training,percent
0.721064915156854,0.721064915156854,0.721064915156854,2251,23541,1243,323,0.874514374514375,0.949846675274371,1302,"243959, 631940, 1462232, 464949, 1373841",validation,percent
0.730257838507871,0.730257838507871,0.730257838507871,2395,25778,1279,323,0.881162619573216,0.952729423069816,1302,"243959, 631940, 1462232, 464949, 1373841",all,percent
0.887315907925439,0.887315907925439,0.887315907925439,144,2237,36,0,1,0.984161900571931,0,"243960, 631940, 1462232, 464949, 1373841",training,percent
0.721064915156854,0.721064915156854,0.721064915156854,2251,23541,1243,323,0.874514374514375,0.949846675274371,1302,"243960, 631940, 1462232, 464949, 1373841",validation,percent
0.730257838507871,0.730257838507871,0.730257838507871,2395,25778,1279,323,0.881162619573216,0.952729423069816,1302,"243960, 631940, 1462232, 464949, 1373841",all,percent
